date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:51	3935/3935	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202019%2013:43:51%20GMT	https://bot.emirkabal.com/robots.txt		(from )
16:43:52	22257/22257	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202019%2013:43:52%20GMT	https://bot.emirkabal.com/	/storage/emulated/0/HTTrack/Websites/deneme/bot.emirkabal.com/index.html	(from )
16:43:53	31004/31004	---MCZ	200	added ('OK')	text/css	etag:W/%22791c-16b26fe50a4%22	https://bot.emirkabal.com/altyapi/css/font-awesome.min.css	/storage/emulated/0/HTTrack/Websites/deneme/bot.emirkabal.com/altyapi/css/font-awesome.min.css	(from https://bot.emirkabal.com/)
16:43:54	127349/127349	---MCZ	200	added ('OK')	text/css	etag:W/%221f175-16b26fe50a2%22	https://bot.emirkabal.com/altyapi/css/bootstrap.min.css	/storage/emulated/0/HTTrack/Websites/deneme/bot.emirkabal.com/altyapi/css/bootstrap.min.css	(from https://bot.emirkabal.com/)
16:43:55	29629/29629	---MCZ	200	added ('OK')	text/css	etag:W/%2273bd-16b26fe50a9%22	https://bot.emirkabal.com/altyapi/css/settings.css	/storage/emulated/0/HTTrack/Websites/deneme/bot.emirkabal.com/altyapi/css/settings.css	(from https://bot.emirkabal.com/)
16:43:56	146597/146597	---MCZ	200	added ('OK')	text/css	etag:W/%2223ca5-16b26fe50a5%22	https://bot.emirkabal.com/altyapi/css/layers.css	/storage/emulated/0/HTTrack/Websites/deneme/bot.emirkabal.com/altyapi/css/layers.css	(from https://bot.emirkabal.com/)
16:43:57	62218/62218	---MCZ	200	added ('OK')	text/css	etag:W/%22f30a-16b26fe50a7%22	https://bot.emirkabal.com/altyapi/css/navigation.css	/storage/emulated/0/HTTrack/Websites/deneme/bot.emirkabal.com/altyapi/css/navigation.css	(from https://bot.emirkabal.com/)
16:43:58	2941/2941	---MCZ	200	added ('OK')	text/css	etag:W/%22b7d-16b26fe50a7%22	https://bot.emirkabal.com/altyapi/css/owl.carousel.min.css	/storage/emulated/0/HTTrack/Websites/deneme/bot.emirkabal.com/altyapi/css/owl.carousel.min.css	(from https://bot.emirkabal.com/)
16:43:59	59653/59653	---MCZ	200	added ('OK')	text/css	etag:W/%22e905-16c52d65074%22	https://bot.emirkabal.com/altyapi/css/style.css	/storage/emulated/0/HTTrack/Websites/deneme/bot.emirkabal.com/altyapi/css/style.css	(from https://bot.emirkabal.com/)
16:44:00	8304/8304	---MCZ	200	added ('OK')	text/css	etag:W/%222070-16b26fe50a8%22	https://bot.emirkabal.com/altyapi/css/responsive.css	/storage/emulated/0/HTTrack/Websites/deneme/bot.emirkabal.com/altyapi/css/responsive.css	(from https://bot.emirkabal.com/)
